file_path,role,owner,loc,type_only_file,import_count,runtime_import_count,internal_outbound_count,institution_outbound_count,cross_module_outbound_count,inbound_consumer_count,test_consumer_count,cross_module_inbound_count,reverse_dependency_count,cycle_member,cycle_id,runtime_boundary_tokens,stable_entry_suggestion,phase23_eligible,phase23_block_reason
src/modules/institution/domain/customer-timeline.ts,domain,customer,275,no,7,1,7,5,2,6,3,1,0,no,,,src/modules/institution/domain/customer/index.ts,no,cross_module_outbound
src/modules/institution/domain/customers.ts,domain,customer,31,no,0,0,0,0,0,1,1,0,0,no,,,src/modules/institution/domain/customer/index.ts,yes,
src/modules/institution/domain/entitlement-usage-view.ts,domain,entitlement,220,no,1,0,1,1,0,2,1,0,0,no,,,src/modules/institution/domain/entitlement/index.ts,yes,
src/modules/institution/domain/followup-contact-safety.ts,domain,followup,254,no,1,0,1,1,0,4,1,0,0,yes,cycle-001,,src/modules/institution/domain/followup/index.ts,no,cycle_member
src/modules/institution/domain/followup-customer-timeline.ts,domain,followup,132,no,1,0,1,1,0,7,1,0,0,no,,,src/modules/institution/domain/followup/index.ts,yes,
src/modules/institution/domain/followup-message-deliveries.ts,domain,followup,545,no,7,3,7,7,0,14,4,0,0,yes,cycle-001,,src/modules/institution/domain/followup/index.ts,no,cycle_member；too_many_consumers
src/modules/institution/domain/followup-message-drafts.ts,domain,followup,520,no,2,0,2,2,0,16,5,0,0,no,,,src/modules/institution/domain/followup/index.ts,no,too_many_consumers
src/modules/institution/domain/followup-operations-dashboard.ts,domain,followup,467,no,11,4,11,11,0,5,1,0,0,no,,,src/modules/institution/domain/followup/index.ts,yes,
src/modules/institution/domain/followup-path-analysis.ts,domain,followup,274,no,3,0,3,3,0,3,1,1,0,no,,,src/modules/institution/domain/followup/index.ts,yes,
src/modules/institution/domain/followup-path-enrollment.ts,domain,followup,296,no,3,1,3,3,0,7,2,0,0,no,,,src/modules/institution/domain/followup/index.ts,yes,
src/modules/institution/domain/followup-workflow.ts,domain,followup,112,no,2,1,2,0,2,30,6,3,0,no,,,src/modules/institution/domain/followup/index.ts,no,cross_module_outbound；too_many_consumers
src/modules/institution/domain/followups.ts,domain,followup,27,no,0,0,0,0,0,2,1,0,0,no,,,src/modules/institution/domain/followup/index.ts,yes,
src/modules/institution/domain/institution-knowledge-management.ts,domain,knowledge,125,no,2,0,2,0,2,6,1,0,1,no,,,src/modules/institution/domain/knowledge/index.ts,no,reverse_dependency；cross_module_outbound
src/modules/institution/domain/opportunity-pool.ts,domain,opportunity,54,no,1,0,1,1,0,1,0,0,0,no,,,src/modules/institution/domain/opportunity/index.ts,yes,
src/modules/institution/domain/package-ai-quota-contract.ts,domain,entitlement,714,no,0,0,0,0,0,6,3,1,0,no,,,src/modules/institution/domain/entitlement/index.ts,yes,
src/modules/institution/domain/quota-enforcement.ts,domain,entitlement,323,no,0,0,0,0,0,9,3,3,0,no,,,src/modules/institution/domain/entitlement/index.ts,yes,
src/modules/institution/domain/real-channel-preflight.ts,domain,shared,435,no,5,2,5,2,3,5,1,0,0,yes,cycle-002,external_channel,src/modules/institution/domain/shared/index.ts,no,runtime_boundary_token；cycle_member；cross_module_outbound
src/modules/institution/domain/standard-treatment-event.ts,domain,treatment,169,no,1,0,1,1,0,3,1,0,0,no,,,src/modules/institution/domain/treatment/index.ts,yes,
src/modules/institution/domain/tenant-business-view-models.ts,domain,ai,183,no,3,0,3,3,0,7,1,1,0,no,,,src/modules/institution/domain/ai/index.ts,yes,
src/modules/institution/domain/treatment-followup-suggestions.ts,domain,followup,448,no,2,1,2,2,0,10,2,1,0,no,,environment,src/modules/institution/domain/followup/index.ts,no,runtime_boundary_token
src/modules/institution/domain/treatment-path-templates.ts,domain,treatment,482,no,1,0,1,1,0,9,1,0,0,no,,,src/modules/institution/domain/treatment/index.ts,yes,
src/modules/institution/domain/treatment-summaries.ts,domain,treatment,159,no,1,0,1,1,0,21,7,2,0,no,,,src/modules/institution/domain/treatment/index.ts,no,too_many_consumers
src/modules/institution/domain/trusted-reachout-safety.ts,domain,shared,94,no,0,0,0,0,0,7,1,0,0,no,,,src/modules/institution/domain/shared/index.ts,yes,
src/modules/institution/domain/wecom-authorization.ts,domain,wecom,372,no,0,0,0,0,0,16,6,0,0,no,,,src/modules/institution/domain/wecom/index.ts,no,too_many_consumers
